Eukaryota-Metazoa-Chordata-Mammalia-undef-Bovidae-Bos-Bostaurus,110
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Cebidae-Callithrix-Callithrixjacchus,251
Eukaryota-Fungi-Ascomycota-Saccharomycetes-Saccharomycetales-Dipodascaceae-Yarrowia-Yarrowialipolytica,4
Eukaryota-undef-undef-undef-Choanoflagellida-Codonosigidae-Monosiga-Monosigabrevicollis,48
Eukaryota-Metazoa-Chordata-Mammalia-Rodentia-Muridae-Mus-Musmusculus,262
Eukaryota-Fungi-Basidiomycota-Tremellomycetes-Tremellales-Tremellaceae-Filobasidiella-Cryptococcusneoformans,2
Eukaryota-Metazoa-Arthropoda-Branchiopoda-Diplostraca-Daphniidae-Daphnia-Daphniapulex,17
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Galagidae-Otolemur-Otolemurgarnettii,82
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Hominidae-Homo-Homosapiens,440
Eukaryota-Fungi-Basidiomycota-Ustilaginomycetes-Ustilaginales-Ustilaginaceae-Ustilago-Ustilagomaydis,3
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Hominidae-Pan-Pantroglodytes,111
Eukaryota-Fungi-Ascomycota-Saccharomycetes-Saccharomycetales-Phaffomycetaceae-Komagataella-Komagataellapastoris,3
Eukaryota-Metazoa-Chordata-Amphibia-Anura-Pipidae-Xenopus-Xenopus(Silurana)tropicalis,118
Eukaryota-Metazoa-Chordata-Mammalia-Carnivora-Canidae-Canis-Canislupus,102
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Hominidae-Gorilla-Gorillagorilla,109
Eukaryota-Fungi-Basidiomycota-Pucciniomycetes-Pucciniales-Pucciniaceae-Puccinia-Pucciniagraminis,1
Eukaryota-undef-undef-undef-Dictyosteliida-undef-Dictyostelium-Dictyosteliumpurpureum,3
Eukaryota-Metazoa-Echinodermata-Echinoidea-Echinoida-Strongylocentrotidae-Strongylocentrotus-Strongylocentrotuspurpuratus,48
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Hylobatidae-Nomascus-Nomascusleucogenys,79
Eukaryota-Metazoa-Arthropoda-Arachnida-Ixodida-Ixodidae-Ixodes-Ixodesscapularis,25
Eukaryota-Metazoa-Placozoa-undef-undef-undef-Trichoplax-Trichoplaxadhaerens,7
Eukaryota-Metazoa-Chordata-Mammalia-Didelphimorphia-Didelphidae-Monodelphis-Monodelphisdomestica,84
Eukaryota-Fungi-Ascomycota-Saccharomycetes-Saccharomycetales-Saccharomycetaceae-Saccharomyces-Saccharomycescerevisiae,2
Eukaryota-undef-undef-undef-Dictyosteliida-undef-Dictyostelium-Dictyosteliumdiscoideum,3
Eukaryota-Metazoa-Chordata-Aves-Galliformes-Phasianidae-Gallus-Gallusgallus,104
Eukaryota-Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillusnidulans,4
Eukaryota-Metazoa-Platyhelminthes-Trematoda-Strigeidida-Schistosomatidae-Schistosoma-Schistosomamansoni,31
Eukaryota-Metazoa-Chordata-Mammalia-Chiroptera-Vespertilionidae-Myotis-Myotislucifugus,82
Eukaryota-Fungi-Ascomycota-Leotiomycetes-Helotiales-Sclerotiniaceae-Sclerotinia-Sclerotiniasclerotiorum,2
Eukaryota-Metazoa-Chordata-Ascidiacea-Enterogona-Cionidae-Ciona-Cionaintestinalis,47
Eukaryota-Metazoa-Nematoda-Chromadorea-Rhabditida-Rhabditidae-Caenorhabditis-Caenorhabditisbriggsae,22
Eukaryota-Metazoa-Chordata-Aves-Passeriformes-Estrildidae-Taeniopygia-Taeniopygiaguttata,76
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Culicidae-Anopheles-Anophelesgambiae,33
Eukaryota-Metazoa-Chordata-Actinopteri-Perciformes-Gasterosteidae-Gasterosteus-Gasterosteusaculeatus,110
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Culicidae-Anopheles-Anophelesdarlingi,44
Eukaryota-undef-undef-undef-undef-undef-Entamoeba-Entamoebahistolytica,2
Eukaryota-undef-undef-Oligohymenophorea-Hymenostomatida-Tetrahymenidae-Tetrahymena-Tetrahymenathermophila,1
Eukaryota-Metazoa-Nematoda-Chromadorea-Diplogasterida-Neodiplogasteridae-Pristionchus-Pristionchuspacificus,16
Eukaryota-Metazoa-Arthropoda-Insecta-Phthiraptera-Pediculidae-Pediculus-Pediculushumanus,25
Eukaryota-Metazoa-Chordata-Mammalia-Rodentia-Caviidae-Cavia-Caviaporcellus,83
Eukaryota-Fungi-Ascomycota-Saccharomycetes-Saccharomycetales-Saccharomycetaceae-Eremothecium-Eremotheciumgossypii,1
Eukaryota-Metazoa-Nematoda-Chromadorea-Rhabditida-Rhabditidae-Caenorhabditis-Caenorhabditiselegans,32
Eukaryota-Metazoa-Chordata-Mammalia-Rodentia-Sciuridae-Ictidomys-Ictidomystridecemlineatus,79
Eukaryota-Fungi-Ascomycota-Dothideomycetes-Pleosporales-Phaeosphaeriaceae-Parastagonospora-Parastagonosporanodorum,2
Eukaryota-Metazoa-Nematoda-Chromadorea-Rhabditida-Rhabditidae-Caenorhabditis-Caenorhabditisjaponica,26

